,compound,score
114,Cc1ccc(-c2nn(C)c(=O)c3ccccc23)cc1CO,0
115,CCOC(=O)C1=C(C)N(C)C(=O)NC1c1c(C)nn(-c2ccccc2)c1C,0
116,CC1=CC2=NC([C@]3(C)CCCN3C(=O)c3cc(C)ccc3-c3ccccc3C)=NC2C=C1C,1
117,Cc1ccc(Nc2nc3nonc3nc2O)cc1C,1
118,CCn1cc(C(=O)N2CCN(c3ccc([N+](=O)[O-])cc3)CC2)c(=O)c2ccc(C)nc21,1
119,COc1cccc(C(=O)Cn2c(N3CCCCC3)nc3c2c(=O)n(C)c(=O)n3C)c1,0
120,CCC(C(=O)O)n1c2ccccc2c2cnnc(O)c21,0
121,Cc1ccc(-c2ncccn2)c(C(=O)N2CC3CC(Nc4ccc(C(F)(F)F)cn4)C2C3)n1,1
122,CCOc1ccccc1C(=O)N1C[C@H](c2cc(C(C)(C)O)no2)CC[C@H]1C,1
123,Cc1cc2nc(O)c(O)nc2cc1S(=O)(=O)N1CCN(c2cccc(Cl)c2)CC1,0
124,O=C(O)CN1C(=O)c2ccc(Oc3ccc([N+](=O)[O-])cc3)cc2C1=O,1
125,CCOC(=O)N1CCC(=NNc2ccc(S(N)(=O)=O)cc2[N+](=O)[O-])CC1,1
126,Cc1cc(N2CCCC2=O)cc(C)c1S(=O)(=O)NCCOc1ccc(C(C)(C)C)cc1,1
127,Cc1ccc(-n2nccn2)c(C(=O)N2CC[C@H]2C2=NC(c3ccccc3)N=N2)c1,1
128,O=C(CCc1nc(O)c2ccccc2n1)NNC(=O)COc1cccc(F)c1,0
129,COc1cc(C(=S)N2CCCC2)cc(Cl)c1O,0
130,CSc1nnc(-c2ccc(S(=O)(=O)N3CCCCC3)cc2)o1,0
131,O=S(=O)(NCC1(N2CCOCC2)CCCCC1)c1ccccc1Cl,0
132,CCSc1nnc2ccc(-c3ccc(OC)c(OC)c3)nn12,1
133,O=C(CSc1nc2ccc(NC(=O)c3ccccc3C(=O)O)cc2s1)Nc1c(Cl)cccc1Cl,0
134,C=CCSc1nc(N)cc(O)n1,0
135,COC(=O)c1ccc(C2C(Oc3ccccc3)C(=O)N2CCc2ccc(OC)c(OC)c2)cc1,0
136,CC(C)c1n[nH]c2c1C(c1ccc(OC(=O)c3ccco3)cc1)C(C#N)=C(N)O2,0
137,Cc1cc2ccccc2nc1SCC(=O)N1c2ccccc2CC1C,0
138,CNC(=O)C1CN(C(=O)c2cccc(S(=O)(=O)N3c4ccccc4CC3C)c2)c2ccccc2O1,1
139,COc1ccc(CCn2c(=N)c(C(=O)NCCN3CCOCC3)cc3c(=O)n4ccccc4nc32)cc1,1
140,Cc1cccc(-c2nc([C@@H]3CCCN3C(=O)c3ccc(Cl)cc3-n3nccn3)no2)c1C,1
141,Cc1cccc(C)c1OC(=O)CN1C(=O)c2ccccc2C1=O,0
142,COc1ccccc1C(=O)NCC(=O)OCC(=O)Nc1cccc(S(=O)(=O)N2CCCCCC2)c1,0
143,CCNS(=O)(=O)c1ccc(CCC(=O)O)cc1,0
144,CCN(CC)C(=O)c1ccc2nc3ccccc3nc2c1,1
145,O=C(O)C(CC1CCCCC1)N1CCS(=O)(=O)CC1,0
146,O=C(COc1ccc(F)cc1Br)NCC1(N2CCOCC2)CCCCC1,0
147,O=C(Cn1ncc2c3ccccc3n(Cc3ccc(F)cc3)c2c1=O)N1CCN(c2ncccn2)CC1,0
148,Nc1c2cnnc-2ncn1Nc1ccccc1F,0
149,Cc1ccc(-n2c3nc(=O)n(C)c(=O)c-3cc3ccccc32)cc1,1
150,O=C(c1cccc(F)c1-c1ccccn1)N1C2CCC1C(Nc1ccc(C(F)(F)F)cn1)C2,1
151,O=C(Nc1ccc(S(=O)(=O)NCc2ccco2)cc1)c1ccc2ccccc2n1,1
152,CC1CCC(Oc2cccc3cnccc23)CN1C(=O)c1ccccc1-n1nccn1,1
153,CCC1(C)Cc2c(sc3nnn(CC(=O)Nc4ccccc4)c(=O)c23)CO1,0
154,CCc1nnc(NC(=O)c2cc3ccccc3oc2=O)s1,1
155,O=Nc1ccc(O)c2ncccc12,1
156,Cc1ccc(C(CC(=O)N2CCOCC2)c2ccco2)cc1,0
157,COc1cccc(OC)c1[C@@H]1C[C@H](O)C(=O)N1Cc1ccc(OC(F)(F)F)cc1,1
158,Cc1ccc2ccccc2c1C(=O)N1C2CCC1C(COc1ccc(F)cn1)C2,1
159,CC(NC(=O)CCc1ccccc1)c1ccc2c(c1)OCO2,0
160,CC1=CC(Cl)=CC2N=C([C@@H]3[C@@H](C)CCN3C(=O)c3cc(C)ccc3-n3nccn3)N=C12,1
161,COc1cc(NC(=O)c2sc3ncn(CC(=O)N4CCCCC4)c(=O)c3c2C)cc(OC)c1OC,0
162,COc1ccc2ccc(O)c(CN(C)CC(=O)Nc3ccccc3C(F)(F)F)c2c1,0
163,Cc1ccc(C(=O)N2CCC[C@@H](Nc3ccc(C(F)(F)F)cn3)[C@@H]2C)c(-n2ccnn2)n1,1
164,COC(=O)c1c(OC)ccnc1O[C@@H]1CC[C@@H](C)N(C(=O)c2ccc(OC)cc2-n2nccn2)C1,1
165,O=C(CCn1cnc2ccccc2c1=O)Nc1nc(-c2ccc(Br)cc2)cs1,0
166,COC(=O)c1c(N2CCN(C)CC2)ccnc1O[C@@H]1CC[C@@H](C)N(C(=O)c2ccccc2-n2nccn2)C1,1
167,Cc1ccc(C)c(S(=O)(=O)N2CCN(c3nc(-c4cccnc4)nc4ccccc34)CC2)c1,1
168,O=C(NCCNC(=O)c1cc(OCC(F)(F)F)ccc1OCC(F)(F)F)Nc1ccc(Cl)cc1,0
169,OCCN(CC#CCn1c2ccccc2c2ccccc21)CCO,0
170,O=C1CCN(S(=O)(=O)c2cc(C(F)(F)F)ccc2Cl)CC1,0
171,Cc1cc(C(=O)N2CCC[C@H]2c2noc(-c3cccc(C)c3C)n2)c(-n2nccn2)cc1C,1
172,Nc1nnc(CCS(=O)(=O)c2ccc(Br)cc2)s1,0
173,O=C(Nc1ccccc1F)c1ccc([N+](=O)[O-])s1,1
174,CC1C(=O)C(C)C(c2cccc(Br)c2)NC1c1cccc(Br)c1,0
175,CC1CCCCN1C(=S)NC(=O)c1cccs1,0
176,NNC(=O)CCN1CCN(Cc2ccccc2)CC1,0
177,CCN(Cc1cccc(OC)c1)CC1CCCN(CCc2cccc(OC)c2)C1,0
178,O=C(Nc1nc2ccccc2s1)C1CCN(S(=O)(=O)c2cc([N+](=O)[O-])ccc2Cl)CC1,1
179,O=S(=O)(Nc1cccc2ncccc12)c1cccc(C(F)(F)F)c1,0
180,COc1cccc(C2C=NC([C@@H]3CCCN3C(=O)c3cc(C)ccc3-n3nccn3)=N2)c1,1
181,CCN(CC)C(=O)CSc1nnc2nnc3cc(Cl)ccc3n12,1
182,O=C(c1cc(Cl)ccc1-n1nccn1)N1CCOC[C@H]1Cc1cccc(-n2nccn2)c1,1
183,CCN(CCc1nccc(C(=O)OC)n1)C(=O)c1ccccc1-n1nccn1,1
184,CC1(NC(=O)COc2ccccc2-c2ccccc2)CCS(=O)(=O)C1,0
185,Cc1ccc(-c2noc([C@@H]3CCN3C(=O)c3cc(C)ccc3-n3nccn3)n2)cc1,1
186,Cc1ccc(C(=O)COC(=O)c2ccc3c(c2)C(=O)N(c2cccc4ncccc24)C3=O)cc1C,0
187,CCC1CCCCN1S(=O)(=O)c1ccc(NC(=O)c2nc(S(C)(=O)=O)ncc2Cl)cc1,1
188,CCc1ccc(NC(=O)C(=O)c2cn(CC(=O)N3CCCCC3)c3ccccc23)cc1,0
189,CC(=O)c1ccc2c3c(cccc13)C(=O)N(c1c(C)nn(C)c1C)C2=O,1
190,CSCCC(NC(=O)c1ccc([N+](=O)[O-])cc1Cl)C(=O)OC1CCCCC1=O,1
191,CC1=C(Cl)C=CC2=NC([C@@H]3[C@@H](C)CCN3C(=O)c3c(-c4ccccc4)ccc(C)c3F)=NC21,1
192,CCc1cnc(OC2CC3CC2N(C(=O)c2cccc(F)c2-c2ncccn2)C3)nc1,1
193,NC(=O)c1cccc2cc3ccccc3cc12,1
194,CC(=O)c1cccc(NC(=O)C2CCCN(S(=O)(=O)c3cccc4cccnc34)C2)c1,1
195,Cc1ccc(-c2cccc(C#N)c2)c(C(=O)N2CCC[C@@]2(C)C2=NC3C=C(C(F)(F)F)C(Cl)=CC3=N2)c1,1
196,Cc1cccc(-c2sc(C)nc2C(=O)N2CCC[C@@]2(C)C2=NC3C(=N2)C=CC(F)=C3F)c1,1
197,CCn1c(O)c(N=NC2=NC(=O)CS2)c2cc(C)ccc21,1
198,CCC1CCCCN1Cc1c(O)ccc2c(=O)c(-c3ccccc3)coc12,0
199,CC1N(C)c2cccc3cccc(c23)N1C,1
200,COc1ccc(Cc2noc(CN(C)CCc3ccccc3)n2)cc1OC,0
201,Cc1c(C#N)ccnc1O[C@@H]1CC[C@@H](C)N(C(=O)c2cc(F)ccc2-c2ccccn2)C1,1
202,O=C(c1ccccc1-n1nccn1)N1CC[C@H]2CCN(c3nccc4ncccc34)[C@H]2C1,1
203,N=c1oc2ccc3ccccc3c2cc1C(N)=S,0
204,COc1ccc(OC)c(NS(=O)(=O)c2c(C(=O)N3CCCCCC3)c(C)n(C)c2C)c1,0
205,CCN(CC(=O)Nc1ccc(NC(C)=O)cc1)C(=O)c1cc(S(=O)(=O)N2CCCCCC2)ccc1OC,0
206,O=C(Nc1ccc2ccccc2n1)c1ccc(Cl)cc1,0
207,COc1cccc(-c2nnc(SCC(=O)Nc3ccc4c(c3)OCCO4)n2Cc2ccco2)c1,1
208,COC(=O)c1c(OC)ccnc1S[C@@H]1CC[C@@H](C)N(C(=O)c2ccccc2-n2nccn2)C1,1
209,COc1ccc(-c2cn(C)nc2C(=O)N2CC(F)(F)C[C@@H](C)C2CNc2cnc(C(F)(F)F)cn2)nc1,1
210,COc1ccc(CNC(=O)c2cc(-c3cncc(C)c3)ncc2N2CCC2)nc1OC,1
211,N#Cc1ccc(NCC(=O)Nc2ccc3c(c2)OCCO3)cc1,0
212,COc1cccc(Cn2cnc3c([N+](=O)[O-])c(C)c(C)cc32)c1,0
213,COC(=O)c1cc(C(=O)OC)n(Cc2ccc(C)cc2)c1C,0
214,CSCCC(NC(=O)c1ccccc1Cl)C(=O)NCc1ccncc1,0
215,O=C(Cc1cccc2ccccc12)Nc1nc2ccccc2[nH]1,0
216,COCc1cc(O)n2nc(N)nc2n1,0
217,O=C(C(=O)N1CCc2ccccc2C1)N1CCc2ccccc2C1,0
218,O=C(Nc1ccc(Cl)cc1)Nc1cccc2nsnc12,1
219,Cc1cc(C(=O)N2CC[C@H]2c2noc(-c3cccc(F)c3C)n2)c(-n2nccn2)cc1C,1
220,Cc1cccc(-c2nnc(SCC(=O)Nc3nc4c(s3)CCCC4)n2C)c1,0
221,Cc1c(NC(=O)COC(=O)CSc2ccc(C(N)=O)cc2[N+](=O)[O-])c(=O)n(-c2ccccc2)n1C,1
222,COC(=O)C(C)Sc1nnc(Cc2cc(O)nc(O)n2)n1-c1cccc(OC)c1,0
223,CCCOc1ccc(NC(=O)CC2C(=O)N(CC)C(=S)N2CCCN2CCN(Cc3ccccc3)CC2)cc1,0
224,COCC(=O)N=Nc1c(O)[nH]c2ccccc12,1
225,O=C(c1cc(Cl)ccc1-n1nccn1)N1CCOC[C@H]1Cc1cccc(-c2ncon2)c1,1
226,COc1ccc(CCNC(=O)CCNS(=O)(=O)c2cccc3nsnc23)cc1OC,1
227,CSc1cccc(NC(=O)[C@@H]2CCCN2S(=O)(=O)c2cccc(Cl)c2)c1,1
228,Cc1cc(C)nc(NC(N)=Nc2ccc(SC(F)F)cc2)n1,1
229,COc1ccccc1OCCNC(=O)C1CC(=O)N(Cc2ccc(C)cc2)C1,0
230,Cc1ccc(C)c(S(=O)(=O)N2CCCC2CNC(=O)c2ccc([N+](=O)[O-])cc2)c1,1
231,CCC(=O)OCCNc1cc(Sc2nccn2C)c2nonc2c1[N+](=O)[O-],1
232,Cc1nc(C(=O)N2CCCC2C2=NC3C=C(C(C)(C)C)C=CC3=N2)c(-c2cccc(Cl)c2)s1,1
233,CCOc1cc(C)c(C(C)C)cc1S(=O)(=O)NCc1ccccn1,0
234,Cc1cc(C(=O)COC(=O)CC2Sc3ccccc3NC2=O)c(C)n1-c1ccc(Br)cc1,0
235,CSC1=CC2N=C([C@@H]3CCCN3C(=O)c3nc(C)sc3-c3cccc(Cl)c3)N=C2C=C1,1
236,Cc1ccc(-n2nccn2)c(C(=O)N2CCC[C@H]2C2=NC(c3cccc(Cl)c3C)=NC2)c1,1
237,CCN(CCc1cccc(C(C)(C)O)n1)C(=O)c1cccnc1OCC(F)(F)F,1
238,Cc1cc(C(=O)N2CCC[C@H]2c2noc(-c3cccc(F)c3C)n2)c(-n2nccn2)cc1C,1
239,O=C(c1cc(F)ccc1-c1ncc(F)cn1)N1C(CO)C2CCC1C(Oc1ccc(C(F)(F)F)cn1)C2,1
240,COc1cccc(-c2ccc(C)cc2C(=O)N2CCC[C@@]2(C)C2=NC3C(=N2)C=CC(C)=C3C)c1,1
241,CCOc1c(F)cccc1-c1nc([C@@H]2CCCN2C(=O)c2ccc(C)cc2-n2nccn2)no1,1
242,C[C@@H]1CC[C@@H](Sc2cc(C#N)ccn2)CN1C(=O)c1ccccc1-c1ccccc1,1
243,Cc1cc2cc(OCC(=O)O)ccc2n1C,1
244,N#CCCN(C(=O)COC(=O)CNC(=O)c1cccs1)c1ccc(F)cc1,0
245,Cc1ccc(-c2sc(C)nc2C(=O)N2CC[C@H](C)[C@H]2C2=NC3C(Cl)=CC=CC3=N2)cc1,1
246,O=[N+]([O-])c1cccc(-c2nnc(C34CC5CC(CC(C5)C3)C4)o2)c1,0
247,Cc1ccc(NC(=O)CSc2nnc(-c3ccco3)o2)cc1,1
248,CC(=O)N1CCOc2ccc(S(=O)(=O)NCC3CCC(C(=O)NCCC(C)C)CC3)cc21,0
249,CSC1=CC=CC2N=C([C@@H]3CCCN3C(=O)c3cc(C#N)ccc3-n3nccn3)N=C12,1
250,Cc1nc(CS(=O)(=O)c2ccc(Cl)cc2)cc(N2CCOCC2)n1,0
251,O=C(NCC(c1ccc(F)cc1)N1CCOCC1)c1cccnc1Sc1ccccc1Cl,0
252,CCN(CC(=O)NC1CCS(=O)(=O)C1)S(=O)(=O)c1cc([N+](=O)[O-])ccc1C,0
253,Cn1c(SCC(=O)Nc2ccc(N3CCOCC3)c(Cl)c2)nnc1-c1ccccc1,0
254,Cc1cc(O)n2nc(-c3ccccc3Cl)cc2n1,0
255,Cc1cc(C(=O)N2CCC[C@@]2(C)C2=NC3C=C(C(F)(F)F)C(Cl)=CC3=N2)c(-n2nccn2)cc1C,1
256,CCOc1ncccc1C(=O)NCC1COc2ccccc2O1,1
257,COc1ccc(-n2nccn2)c(C(=O)N2CC[C@H](C)[C@H]2C2=NC3C=C(C)C(C)=CC3=N2)c1,1
258,CCOC(=O)C1=C(CS(=O)(=O)c2ccccc2)NC(=O)NC1c1ccccc1OCC,0
259,CCN(CC(=O)NCc1cccs1)S(=O)(=O)c1ccc(NC(C)=O)cc1,0
260,Cc1cc(Br)ccc1OCC(=O)NNC(=O)CCc1ccccc1,0
261,Cc1oc([C@@H]2CC[C@@H](C)N(C(=O)c3cscc3-c3ncccn3)C2)nc1C(C)(C)O,1
262,O=C(c1cccnc1-n1nccn1)N1CC2CC(Oc3ccc(C(F)(F)F)cn3)C1C2,1
263,COC(CNC(=O)C1CCN(C(=O)c2cc3oc(C)cc3n2Cc2c(F)cccc2Cl)CC1)OC,0
264,O=C(CN1CCOCC1)Nc1cccc(C(F)(F)F)c1,0
265,Cc1nnn(-c2ccccc2C(=O)N2C[C@H](Oc3nccc(C#N)c3C)CC[C@H]2C)n1,1
266,CCOC(=O)c1cn(CC)c2cc(Cl)c([N+](=O)[O-])cc2c1=O,1
267,c1ccc2c(SCc3cn4ccccc4n3)nncc2c1,0
268,Cc1cc(C(C)C)nc(N2CC3CN(C(=O)c4ccccc4-n4nccn4)CC3C2)n1,1
269,Cc1nn(C)cc1S(=O)(=O)N1CCN(Cc2cccc(Cl)c2)CC1,0
